,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,78.50517,146.37744,254.31223,29995.77,0.38502917
1,78.89192,133.24242,258.38654,29989.84,0.38469702
2,78.97238,121.59709,263.99414,29993.428,0.3843609
3,79.521454,111.284706,270.1309,29987.5,0.38402522
4,80.34077,102.10547,276.5084,29978.646,0.3836926
5,81.27392,93.96607,282.94232,29969.037,0.38335973
6,82.33186,86.72824,289.3218,29963.023,0.38302675
7,84.42323,80.324646,295.61462,29955.334,0.382697
8,85.38229,74.605,301.78613,29949.41,0.3823691
9,86.785416,69.540245,307.8077,29943.49,0.38204288
10,88.20584,65.09012,313.67783,29937.568,0.3817174
11,89.169846,61.187862,319.37177,29956.83,0.3813908
12,89.74285,57.776154,324.88098,29954.506,0.38106322
13,90.27824,54.79106,330.22757,29948.604,0.38073686
14,90.64067,52.170723,335.42798,29942.682,0.38040888
15,90.37642,49.856335,340.47357,29937.555,0.38007933
16,90.55208,47.81884,345.36664,29931.63,0.3797476
17,90.85219,46.02138,350.09946,29925.973,0.37941405
18,91.14463,44.429382,354.65338,29929.648,0.37907863
19,91.618355,43.02375,359.02454,29923.434,0.378742
20,91.73712,41.767838,363.22055,29917.52,0.3784037
21,92.37987,40.648922,367.24484,29908.094,0.37806424
22,92.32588,39.641426,371.10248,29902.174,0.37772298
23,92.83584,38.74117,374.7922,29896.264,0.3773799
24,93.783035,37.92855,378.30432,29873.305,0.37703663
25,93.13926,37.20179,381.63297,29867.395,0.3766925
26,94.21071,36.546482,384.77277,29856.635,0.37634787
27,94.2934,35.950317,387.73425,29850.732,0.3760026
28,94.525116,35.409237,390.5202,29844.85,0.37565774
29,94.83376,34.917664,393.13745,29838.95,0.37531322
30,95.54574,34.463997,395.59985,29833.049,0.37496856
31,95.22333,34.047485,397.90897,29831.541,0.37462392
32,95.84397,33.658775,400.05133,29827.768,0.3742809
33,95.28723,33.297962,402.0652,29821.87,0.37393808
34,95.16921,32.96894,403.92853,29816.594,0.37359574
35,94.888,32.66251,405.62448,29810.701,0.3732527
36,93.993416,32.378727,407.19464,29804.805,0.37291226
37,93.14513,32.11182,408.64606,29796.334,0.37257144
38,94.13026,31.86446,409.99585,29790.45,0.37223208
39,93.86269,31.625273,411.2451,29779.146,0.37189314
40,93.70553,31.398655,412.39954,29773.264,0.37155524
41,93.150856,31.178684,413.4818,29767.379,0.37121737
42,95.05893,30.97249,414.4958,29761.496,0.37088022
43,93.382866,30.783073,415.4557,29732.512,0.37054482
44,93.217285,30.594852,416.37152,29726.637,0.37020954
45,93.65468,30.421526,417.25076,29723.072,0.3698753
46,93.7762,30.24694,418.0888,29706.848,0.36954248
47,94.07901,30.090961,418.86444,29700.982,0.36921033
48,95.3667,29.924656,419.59982,29690.643,0.3688809
