,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,32.557808,3.3170707,511.4345,0.5156096
1,31.866817,3.1650288,484.29346,0.46806288
2,31.178867,3.0607464,457.07513,0.42681688
3,30.49176,2.9799037,433.41235,0.39215693
4,29.818605,2.9187815,410.24966,0.36394393
5,29.140896,2.8699903,388.23984,0.3425759
6,28.465548,2.8304152,367.77515,0.32764667
7,27.790506,2.8008132,348.7198,0.31898552
8,27.13183,2.77666,331.00317,0.31657478
9,26.479584,2.7617786,313.93552,0.32032508
10,25.83356,2.7478936,297.91986,0.3296182
11,25.195553,2.7420382,282.33386,0.34376284
12,24.580452,2.7409906,268.23834,0.36059535
13,23.977257,2.742144,254.86104,0.3777402
14,23.374176,2.7476373,241.88792,0.39484814
15,22.812681,2.7563465,229.31229,0.41187447
16,22.270973,2.765201,217.93344,0.42877322
17,21.76488,2.7762618,207.10086,0.44546345
18,21.268429,2.7842412,197.17473,0.46189454
19,20.792007,2.7933416,187.57184,0.47812143
20,20.316202,2.804748,178.38655,0.49435085
21,19.859306,2.8206472,170.16258,0.5105985
22,19.418924,2.8340883,162.17961,0.5267142
23,18.995583,2.8452754,154.56839,0.5422851
24,18.59843,2.8565917,147.04012,0.5569656
25,18.21914,2.8689895,140.181,0.57076854
26,17.85038,2.8797078,133.74939,0.58367854
27,17.488377,2.8957012,127.765755,0.5959413
28,17.152767,2.9131186,121.80505,0.60750324
29,16.817097,2.9264398,116.61095,0.61841714
30,16.495552,2.9392679,111.45907,0.62853765
31,16.171066,2.958538,106.59525,0.63784945
32,15.846727,2.9793463,102.156654,0.6460709
33,15.541189,2.994466,97.866806,0.6537627
34,15.243,3.0143883,93.57563,0.6611461
35,14.959269,3.0231957,89.6705,0.6677269
36,14.668931,3.0335388,86.14044,0.67358214
37,14.386259,3.045425,82.71359,0.6793629
38,14.103493,3.0577767,79.404396,0.68496037
39,13.808283,3.0709414,76.36992,0.69037163
40,13.523091,3.0836954,73.43407,0.6947814
41,13.21874,3.096469,70.707436,0.6985464
42,12.922178,3.1111069,68.045044,0.7022623
