,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,59.17015,44.449352,19.790604,138.91235,0.6805058
1,59.94551,41.711937,19.820015,138.62561,0.68000174
2,60.983616,40.046688,19.849281,138.39323,0.6794987
3,61.34014,38.808365,19.871342,138.15862,0.6789657
4,62.105225,37.603157,19.892078,137.9152,0.67842263
5,63.32558,36.589638,19.915482,137.6957,0.67787254
6,65.481384,35.621033,19.941132,137.46783,0.6773172
7,64.99193,34.682346,19.968351,137.23529,0.6767576
8,66.1526,33.826347,19.996391,137.02795,0.6761928
9,66.19164,33.041954,20.025284,136.8257,0.6756221
10,67.94805,32.297195,20.054676,136.61385,0.6750475
11,68.57196,31.600605,20.084217,136.38246,0.6744676
12,69.18646,30.946918,20.113274,136.15448,0.6738866
13,69.596855,30.318727,20.142704,135.9655,0.673308
14,70.91754,29.733906,20.171364,135.74747,0.67273235
15,71.567184,29.166277,20.199936,135.52702,0.6721562
16,72.081894,28.62729,20.227839,135.309,0.6715812
17,72.54434,28.11462,20.25562,135.08165,0.67100483
18,73.573326,27.624273,20.282837,134.86028,0.67042863
19,74.36855,27.1516,20.309221,134.6122,0.66985244
20,74.571976,26.7103,20.335606,134.37999,0.66927356
21,75.378944,26.281233,20.361423,134.16176,0.6686936
22,76.67749,25.865685,20.386896,133.94725,0.66811347
23,77.91811,25.464012,20.411827,133.75986,0.66753525
24,77.817696,25.079252,20.436028,133.56929,0.6669598
25,78.69673,24.714296,20.459291,133.37383,0.666387
26,79.40579,24.37056,20.482065,133.13303,0.66581786
27,79.96542,24.03959,20.5041,132.91476,0.66525286
28,80.60385,23.731031,20.525816,132.71037,0.66469043
29,80.99168,23.423893,20.547087,132.46786,0.6641326
30,81.64618,23.138783,20.56791,132.23311,0.6635771
31,82.374954,22.870937,20.588242,132.00923,0.66302466
32,82.56296,22.60614,20.607462,131.80972,0.66247505
33,83.34031,22.359928,20.626392,131.61987,0.6619292
34,83.73638,22.12163,20.644758,131.41217,0.6613854
35,84.59935,21.887867,20.662624,131.2217,0.6608456
36,84.87875,21.672436,20.67949,131.0444,0.66030747
