,stroke-feature-loss,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
0,35.131687,7.8946342,7.490687,111.1299,0.6842872
1,38.583,6.0737514,7.546501,106.541466,0.6493471
2,39.213554,5.15709,7.5801125,103.71964,0.62193435
3,43.257107,4.267177,7.611446,101.69002,0.60350406
4,44.584957,3.867832,7.626103,100.13393,0.5883929
5,45.359264,3.60308,7.637645,98.950195,0.57615805
6,45.49318,3.4210978,7.64639,97.92102,0.565967
7,46.386486,3.290318,7.6539817,97.09648,0.5573703
8,46.572647,3.1921728,7.660466,96.42377,0.55007267
9,46.817974,3.1170108,7.6659255,95.84244,0.54385835
10,47.254814,3.0570667,7.67057,95.330124,0.53849345
11,47.410507,3.0073185,7.674725,94.91291,0.53389555
12,48.163643,2.966821,7.6782017,94.5479,0.5298682
13,47.930355,2.9328778,7.6812987,94.236595,0.52639824
14,48.240124,2.9043064,7.6841116,93.9712,0.523355
15,48.191227,2.87927,7.68645,93.71569,0.5207032
16,48.331333,2.858878,7.6886134,93.51118,0.5183791
17,48.39949,2.840342,7.6903963,93.34822,0.5163407
18,48.620686,2.824353,7.6920075,93.21168,0.51455444
19,48.999252,2.8104136,7.693354,93.07503,0.5129821
20,48.910797,2.798832,7.694649,92.9528,0.51159257
21,48.744854,2.7885046,7.695716,92.84714,0.5103785
22,48.77462,2.7794487,7.6966615,92.745125,0.5092987
23,48.838287,2.771249,7.6975107,92.650185,0.50834864
24,48.785686,2.764308,7.6982913,92.576675,0.50750726
25,48.66568,2.7580857,7.698931,92.50993,0.5067617
26,48.712193,2.7527874,7.699521,92.452,0.50610703
27,48.968967,2.747759,7.700071,92.39811,0.5055219
28,49.032722,2.7433171,7.7005177,92.34778,0.5050058
29,49.06253,2.7398043,7.7009735,92.309395,0.5045477
30,49.030228,2.7358422,7.7013235,92.26953,0.5041421
31,48.835762,2.7330694,7.701657,92.237175,0.5037812
32,48.708603,2.7304437,7.701967,92.20367,0.5034609
33,48.73324,2.728177,7.7021985,92.17734,0.50317544
34,48.984344,2.7258592,7.702447,92.155014,0.5029225
35,48.993954,2.724021,7.702661,92.13977,0.50269735
36,48.98919,2.722227,7.702854,92.10761,0.5024967
37,49.06075,2.7208068,7.7030177,92.09207,0.5023191
38,48.95685,2.718991,7.703178,92.07533,0.5021604
39,48.951916,2.7179697,7.7033243,92.06941,0.5020189
40,48.98622,2.7167523,7.703431,92.05814,0.50189316
41,49.01298,2.7158308,7.7035456,92.04778,0.5017808
42,49.03316,2.714756,7.703661,92.036995,0.5016807
43,49.084377,2.714173,7.7037416,92.029205,0.50159156
44,49.058952,2.7132072,7.7038274,92.02226,0.5015118
45,49.07803,2.7125545,7.7038937,92.01605,0.5014408
46,49.08485,2.712023,7.7039676,92.01051,0.5013772
47,49.116547,2.7115707,7.7040305,92.00558,0.5013208
48,49.130844,2.711057,7.7040854,92.00117,0.5012701
49,49.17611,2.710728,7.7041283,91.99722,0.5012248
50,49.108727,2.710323,7.704173,91.99369,0.50118464
51,49.154114,2.7100089,7.704206,91.99055,0.50114846
52,49.137833,2.7097144,7.704244,91.99086,0.5011162
53,49.08171,2.709462,7.7042747,91.98815,0.5010875
54,49.15519,2.7092488,7.704296,91.985916,0.5010616
55,49.15176,2.7090335,7.704325,91.98391,0.5010386
56,49.171734,2.7088957,7.704338,91.9821,0.50101805
57,49.173027,2.7086391,7.7043595,91.98049,0.50099957
58,49.17833,2.7083914,7.7043757,91.97906,0.5009831
59,49.243484,2.7082205,7.704393,91.97779,0.5009683
60,49.245872,2.7080917,7.7044106,91.97664,0.5009551
61,49.243576,2.7079918,7.7044234,91.97561,0.5009433
62,49.231018,2.707903,7.704435,91.974686,0.50093275
63,49.236027,2.7078228,7.704446,91.97386,0.5009232
64,49.22936,2.7077518,7.7044544,91.97311,0.50091475
65,49.230484,2.7076879,7.7044635,91.97244,0.5009071
66,49.207832,2.7076323,7.7044716,91.97185,0.5009004
67,49.19035,2.707582,7.7044783,91.97133,0.50089425
68,49.19041,2.7075374,7.704484,91.970856,0.50088876
69,49.189087,2.7074971,7.704489,91.97043,0.5008838
70,49.19041,2.707461,7.704495,91.970055,0.50087947
71,49.20198,2.7074292,7.704499,91.969696,0.5008756
72,49.200916,2.7073956,7.704504,91.9694,0.5008721
73,49.144295,2.7073698,7.7045083,91.96913,0.5008689
74,49.227478,2.707347,7.704511,91.96888,0.50086606
75,49.227478,2.7073264,7.7045145,91.96865,0.5008635
76,49.22576,2.7073078,7.7045174,91.96845,0.5008613
77,49.344383,2.7072911,7.7045183,91.96828,0.5008592
78,49.344383,2.7072763,7.704521,91.96813,0.5008574
79,49.344383,2.7072628,7.704523,91.96797,0.50085574
80,49.344383,2.7072506,7.7045245,91.96786,0.5008543
81,49.344383,2.7072396,7.704527,91.96772,0.500853
82,49.33584,2.7072306,7.7045274,91.967636,0.5008518
83,49.33584,2.7072215,7.7045293,91.967545,0.50085074
84,49.337086,2.7072134,7.70453,91.967476,0.5008498
85,49.337086,2.7072067,7.7045307,91.96739,0.50084895
86,49.337086,2.7072003,7.7045317,91.96732,0.5008482
87,49.337086,2.7071946,7.704533,91.96725,0.5008475
88,49.337086,2.7071896,7.7045336,91.96721,0.50084686
89,49.337086,2.707185,7.7045336,91.967155,0.5008463
90,49.337086,2.7071807,7.7045355,91.967094,0.50084585
0,,,,,,0.0,902.38556,15.808736
91,49.34164,2.707177,7.7045355,91.96706,0.5008454,,,
92,49.34164,2.7071736,7.704536,91.96702,0.500845,,,
93,49.34164,2.7071707,7.704536,91.966995,0.50084466,,,
94,49.34164,2.7071676,7.704536,91.96697,0.50084436,,,
95,49.34164,2.7071652,7.704537,91.96695,0.500844,,,
96,49.371635,2.7071633,7.704537,91.96693,0.5008437,,,
97,49.371635,2.707161,7.704537,91.96691,0.5008436,,,
98,49.371635,2.7071595,7.704538,91.9669,0.50084335,,,
99,49.371635,2.707158,7.704538,91.9669,0.50084317,,,
1,68.074036,739.4753,21.215317
2,98.521515,685.2191,21.205196
3,116.05489,634.49664,23.573887
4,139.01457,595.22205,22.192152
5,143.14302,557.6155,25.34852
6,139.51964,549.56696,23.53432
7,148.54817,528.1651,24.276915
8,138.61229,514.7773,24.650745
9,139.28471,506.55316,25.069553
10,142.61783,500.26273,25.215729
11,138.9713,494.93564,25.44788
12,148.80957,490.50333,25.569187
